order_id,payment_sequential,payment_type,payment_installments,payment_value,origen,seller_id,seller_zip_code_prefix,seller_city,seller_state,geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state,review_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,review_sentiment,order_item_id,product_id,shipping_limit_date,price,freight_value,price_normalized,customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,ï»¿product_category_name,product_category_name_english,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
d7f6ace2a350940d10999a89ceb44d72,1.0,credit_card,1.0,94.84,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554439efcd602dbfd71bbae1658f4ff0,1.0,boleto,1.0,36.84,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3cd6d82ade0e89d757b4d900460f1ad,1.0,credit_card,4.0,77.86,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76b2130e88deabfcb586db50ff98e3b5,1.0,credit_card,4.0,90.99,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ffdab5e1596138d37793566aa1424d0c,1.0,boleto,1.0,418.35,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac3fcd67437432bd0f3a05aade719e7b,1.0,credit_card,3.0,166.69,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5feeb22d03c193159f3e223c2a87e745,1.0,credit_card,5.0,159.14,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6954f8261ff8147d4f4570c7d65990bd,1.0,boleto,1.0,91.18,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79253603017826d2d9471136b52c2646,1.0,credit_card,1.0,41.84,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3789ddab12c667292dc0513fa0f0ff9d,1.0,credit_card,1.0,236.86,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f67dfbaeb6d5c6188f0aa52aa1634a7e,1.0,credit_card,10.0,2168.6,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edad550f8e089f9f83f9826bd21f1095,1.0,credit_card,1.0,76.08,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4e61d7c6f86143c04ee80dae4955fd92,1.0,credit_card,8.0,83.22,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189e8f0e3028e1de97281fd91d4318fe,1.0,credit_card,2.0,98.84,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01c4766d43d50d892132f7bb04d97300,1.0,credit_card,5.0,54.12,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731a8110be2ef91dd6967336a930b4e3,1.0,credit_card,7.0,202.06,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981ce71403e17f9540c416f431a7c6d2,1.0,credit_card,4.0,145.56,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3e1298fc81396a1e3ad660c0cd0fab65,1.0,credit_card,4.0,172.55,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe68d8f20f2d6e9d702a74d3bfa9c4fa,1.0,credit_card,8.0,218.27,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f88be1aa97c84281588282a16fa3fa1,1.0,credit_card,10.0,222.65,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ee4362f8dfc794ac7cb9b309b4a87b3,1.0,credit_card,10.0,124.53,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3c5d914eec90079a826c2b5ea7fe6bc,1.0,credit_card,2.0,72.66,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b9763fc50599a4ba2c2405513546d844,1.0,credit_card,5.0,54.42,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658028ee7633b50e656cea96a31274b1,1.0,credit_card,5.0,135.84,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97bfa91db4bea5977d7f4d5802d186b1,1.0,credit_card,10.0,317.15,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1cbc4deb78977f04e2e3c262a613abc0,1.0,boleto,1.0,62.44,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee15d0f2d62b2c0e0182e82f43e9e53b,1.0,credit_card,2.0,116.85,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0258e674c59ea50961e9ec45f97b08e,1.0,credit_card,5.0,136.99,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6b366b1ca31e3d1a57113196398f8dd,1.0,credit_card,1.0,24.41,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4aea73f4a5803237a93ce646f0f91b16,1.0,credit_card,3.0,115.28,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b637257e6e8de7e07b45462b712407a2,1.0,boleto,1.0,83.23,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4ace38893f7d4e22939778dd93b3dee,1.0,boleto,1.0,42.86,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a470f84c0f59a6ed8f6733031b7dbeee,1.0,credit_card,2.0,26.39,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61ea97d56d5149277b28083dd851754f,1.0,boleto,1.0,371.65,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25f7a3addc40a8945c939a6d4bf1148e,1.0,credit_card,1.0,63.27,olist_order_payments_dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
